Key,Italian(it)
"_avatar","Seleziona il tuo avatar!"
"_avatar_info","{_requires}<br>{AvatarUI.points}<br>{_points}"
"_back","Indietro"
"_back_to_menu","Torna al menu"
"_bad_ip_address","Questo indirizzo Ip non è valido."
"_bad_password","La password deve contenere tra 8 e i 20 caratteri, con NESSUNA virgola o spazi."
"_bad_request","Il server ha rifiutato la connessione, le credenziali potrebbero essere errate o qualcuno con quel nome utente è già connesso al server.<br>E' anche possibile che la connessione col server sia stata interrotta."
"_bad_username","Il nome utente deve contenere tra 1 e 20 caratteri con NESSUNA virgola o spazi."
"_buy","Compra"
"_clear","Pulisci"
"_client","Client"
"_continue_as","Continua<br>come {currentBuild}"
"_correct_compilation","compila correttamente"
"_correct_doubt","Dubbio Corretto"
"_correct_output","Output corretto"
"_correct_result","Risultato corretto: "
"_cosmetic_description","Più punti hai, più avatar saranno disponibili!<br>L'avatar che scegli verrà mostrato a tutti gli altri giocatori nella tua stanza!<br>Completare una sessione ti ricompenserà con alcuni punti, ma se finisci sul podio ne guadagnerai molti di più."
"_cpp_description","Il gioco ti permette di creare i file .cpp della tua, o della migliore, solutione. Scegli la cartella e clicca su esporta mentre stai giocando."
"_cpp_directory","Cartella dei Cpp"
"_crash","Terminasse<br>erroneamente"
"_crash_button","Termini<br>erroneamente"
"_crashed","ha terminiato erroneamente"
"_create_account","Crea un nuovo account"
"_current_ip_address","I giocatori devono connettersi a questo indirizzo Ip: <b>{IpManager.address}</b>"
"_current_leaderboard","Classifica"
"_current_points","{_currently_have} {AvatarManager.points} {_points}"
"_currently_have","In questo momento hai:"
"_default_path","Percorso predefinito"
"_disconnect","Disconnettiti"
"_did_not_compile","non ha compilato"
"_doubt","Dubita"
"_doubt_description","É il momento di creare i tuoi dubbi!<br>Clicca sugli avatar dei giocatori a sinistra per poter leggere le loro soluzioni e, se trovi qualche errore, crea un dubbio premendo il pulsante in alto!"
"_doubt_on_compilation_result","<b>{doubter}</b> si aspettava che la soluzione di <b>{target} non compilasse</b>.<br><br>La soluzione di <b>{target} {returnedType}</b>."
"_doubt_result","<b>{doubter}</b> si aspettava che la soluzione di <b>{target} {doubtType} {possibleReturnValue}</b> invece di ritornare <b>{expectedReturnValue}</b> dopo aver passato <b>{inputs}</b> come argomenti in input.<br><br>La soluzione di <b>{target} {returnedType} {actualReturnValue}</b>.<br>Una corretta soluzione ritornerebbe <b>{correctReturnValue}</b>."
"_doubts_received","Dubbi ricevuti:"
"_expected","si aspettava che la soluzione di"
"_expected_wrong_value","Valore errato atteso:"
"_export","Esporta"
"_export_all_solution","Esporta tutte le soluzioni"
"_export_best_solution","Esporta la soluzione migliore"
"_export_my_solution","Esporta la mia soluzione"
"_goal","Obbiettivo"
"_got_it","Capito!"
"_half_doubt","Mezzo Dubbio"
"_hint","Suggerimento"
"_hints","Suggerimenti"
"_hint_content","{HintBox.hintBody}"
"_hint_value","{_hint} {HintBox.hintNumber}"
"_how_to_play","Come giocare"
"_i_expected","Mi aspetto che la soluzione:"
"_input_arguments","Argomenti in input"
"_input_given","una volta passato il seguente input: "
"_instead","invece di ritornare:"
"_instead_correct_value","Al posto del valore corretto:"
"_leaderboard_description","La classifica finale dipenderà dal risultato dei test finali, tutto può ancora cambiare!"
"_loading","Caricamento"
"_lobby","Stanza"
"_lobby_info","{_lobby} {LobbyUI.lobbyNumber}   {LobbyUI.lobbyCount}/{LobbyUI.lobbyCapacity}"
"_lobby_ready_info","{_lobby} {lobbyNumber}  {readyClients}/{clientsInLobby}"
"_localization_description","Clicca sulla bandiera per cambiare la lingua!"
"_log","Registro"
"_next_time_avatar","Questi sono gli avatar che potrai selezionare dalla prossima volta:"
"_no_compile","Non compilasse"
"_no_compile_button","Non<br>compili"
"_no_doubt","Nessun Dubbio"
"_no_doubt_result","<b>{doubter}</b> non ha dubitato la soluzione di <b>{target}</b>."
"_not_compile","non compila"
"_not_expected","non ha dubitato"
"_password","Password"
"_play","Gioca"
"_player","Giocatore"
"_points","Punti"
"_progress_until_next_round","Avanzamento al prossimo turno"
